Make,Model,Year,Price,Mileage,Engine
Taiwan,Golden Bee… 303R,2013,999,6086,
Honda,CB125F…,2020,1175,37100,125
Suzuki,Inazuma 25…,2016,1895,20422,248
Moto Guzzi,V9 Bobber…,2017,3995,8596,853
Keeway,Superlight 1…,2017,1499,10716,124
Honda,GL1000… Goldwing,1976,3500,56486,
Lexmoto,Diablo 125…,,1649,,125
Zontes,ZT310-M…,2022,2495,2224,309
KTM,790 Duke,2019,3999,6500,799
Suzuki,GSX650F…,2008,1999,44516,
Vmoto,TC Wanderer…,2025,1850,1,125
Yamasaki,YM 50-10…,,2349,,49
Zontes,S 250,2017,1495,3373,249
Honda,VTR 1000… Firestorm,1997,2199,19530,
Herald Motor Co,Maveric… 250,2021,2000,80,223
Gavrix,Spider 50…,,1199,,50
Mutt,Super 4 250…,2022,2299,1649,249
Keeway,RKS 125…,,1899,,124
Royal Enfield,Continenta… GT 650,2022,4390,870,648
KTM,Freeride 350…,2015,3495,2443,350
Herald Motor Co,Brat 125…,2025,2399,2200,124
Honda,NC700X…,2013,1899,93000,670
Yamaha,FZ6 Fazer…,2008,2999,28182,600
Suzuki,SV1000…,2003,3499,17784,996
Royal Enfield,Himalayan…,2022,2889,3345,411
Kymco,Visar 125…,2023,1349,2106,125
SEAT,MO eScooter 125,2022,2350,2000,
Piaggio,Vespa LX 12…,2008,1299,9700,
BMW,R 1200 RT…,2005,1999,38730,
Honda,VT250,1984,1000,55427,250
BMW,G 310 R,2017,2499,14238,313
UM,DSR SM 125…,2023,1995,6078,125
Yamaha,SZR660…,1996,1350,26000,659
Suzuki,GSX250R…,2017,2250,5536,248
Honda,GL1500… Goldwing,1993,2950,37200,
Kawasaki,Z e-1…,,3499,,0
Moto Guzzi,Griso…,2008,4898,9020,
Keeway,Fact X 125…,2024,1559,690,125
Honda,Vision 110…,2019,1489,284,108
KTM,125 Duke,2012,2450,13335,125
