dealer,brand,name,price,year,url
webbs,Triumph,TRIUMPH SPEED TRIPLE 1200 RS,13799,,https://webbsmotorcycles.co.uk/triumph-speed-triple-1200-rs-20123-2149/
webbs,Triumph,TRIUMPH SPEED TWIN 1200,12795,,https://webbsmotorcycles.co.uk/triumph-speed-twin-1200-13040-2265/
webbs,Triumph,TRIUMPH SPEED TWIN 1200 RS,14795,,https://webbsmotorcycles.co.uk/triumph-speed-twin-1200-rs-13040-2273/
webbs,Triumph,TRIUMPH SPEED TWIN 1200 RS,14795,,https://webbsmotorcycles.co.uk/triumph-speed-twin-1200-rs-13040-2268/
webbs,Triumph,TRIUMPH SPEED TWIN 1200 RS,12499,,https://webbsmotorcycles.co.uk/triumph-speed-twin-1200-rs-13040-2246/
webbs,Triumph,TRIUMPH SPEED TWIN 900,9495,,https://webbsmotorcycles.co.uk/triumph-speed-twin-900-13040-2198/
webbs,Triumph,TRIUMPH SPEED TWIN 900,6999,,https://webbsmotorcycles.co.uk/triumph-speed-twin-900-20123-2058/
webbs,Triumph,TRIUMPH SPEEDMASTER 1200,11995,,https://webbsmotorcycles.co.uk/triumph-speedmaster-1200-20123-1956/
webbs,Triumph,TRIUMPH SPEEDMASTER 1200,13795,,https://webbsmotorcycles.co.uk/triumph-speedmaster-1200-20123-1868/
webbs,Triumph,TRIUMPH SPEEDMASTER 1200,13795,,https://webbsmotorcycles.co.uk/triumph-speedmaster-1200-20123-2039/
webbs,Triumph,TRIUMPH SPEEDMASTER 1200,13795,,https://webbsmotorcycles.co.uk/triumph-speedmaster-1200-20123-2000/
webbs,Triumph,TRIUMPH SPEEDMASTER 1200,12995,,https://webbsmotorcycles.co.uk/triumph-speedmaster-1200-20123-1909/
webbs,Triumph,TRIUMPH STREET TRIPLE 765 RS,9999,,https://webbsmotorcycles.co.uk/triumph-street-triple-765-rs-20123-2173/
webbs,Triumph,TRIUMPH STREET TRIPLE 765 RS,11495,,https://webbsmotorcycles.co.uk/triumph-street-triple-765-rs-20123-1926/
webbs,Triumph,TRIUMPH STREET TRIPLE 765 RX,11895,,https://webbsmotorcycles.co.uk/triumph-street-triple-765-rx-13040-2187/
webbs,Triumph,TRIUMPH STREET TRIPLE 765 RX,11995,,https://webbsmotorcycles.co.uk/triumph-street-triple-765-rx-20123-1970/
webbs,Triumph,TRIUMPH STREET TRIPLE R,7799,,https://webbsmotorcycles.co.uk/triumph-street-triple-r-13040-2257/
webbs,Triumph,TRIUMPH STREET TRIPLE R,7999,,https://webbsmotorcycles.co.uk/triumph-street-triple-r-13040-2280/
webbs,Triumph,TRIUMPH STREET TRIPLE R,8499,,https://webbsmotorcycles.co.uk/triumph-street-triple-r-20123-2086/
webbs,Triumph,TRIUMPH STREET TRIPLE RS,10495,,https://webbsmotorcycles.co.uk/triumph-street-triple-rs-20123-1867/
webbs,Triumph,TRIUMPH THRUXTON 400,6095,,https://webbsmotorcycles.co.uk/triumph-thruxton-400-13040-2134/
webbs,Triumph,TRIUMPH THRUXTON 400,5995,,https://webbsmotorcycles.co.uk/triumph-thruxton-400-20123-2001/
webbs,Triumph,TRIUMPH TIGER 1200 DESERT,15995,,https://webbsmotorcycles.co.uk/triumph-tiger-1200-desert-13040-1991/
webbs,Triumph,TRIUMPH TIGER 1200 DESERT,15995,,https://webbsmotorcycles.co.uk/triumph-tiger-1200-desert-13040-1984/
webbs,Triumph,TRIUMPH TIGER 1200 GT PRO,11499,,https://webbsmotorcycles.co.uk/triumph-tiger-1200-gt-pro-20123-2005/
webbs,Triumph,TRIUMPH TIGER 1200 RALLY EXPLORER,12499,,https://webbsmotorcycles.co.uk/triumph-tiger-1200-rally-explorer-13040-1829/
webbs,Triumph,TRIUMPH TIGER 1200 RALLY EXPLORER,15999,,https://webbsmotorcycles.co.uk/triumph-tiger-1200-rally-explorer-20123-2046/
