lot_id,auction_id,sale_date,year,make,model,engine_cc,odometer,sold_price,hammer_price,lot_name
REC16888-7,254,2026-04-03,2005,Suzuki,Gz250 249Cc,249,,632,550,2005 Suzuki TU 250 Steve McQueen Replica 249cc
REC16888-8,254,2026-04-03,1954,Bsa,C11,250,,862,750,1954 BSA C11 Bobber 249cc
REC16888-9,254,2026-04-03,2006,Royal Enfield,Bullet 500,499,,345,300,2006 Royal Enfield 500 Bullet 499cc
REC16888-26,254,2026-04-04,1957,Ajs,Model 14,,,575,500,1957/65 AJS Model 14 248cc
REC16929-6,263,2026-04-16,1949,Vincent,Series C Black Shadow,998,,14720,12800,1949 Vincent Series C Black Shadow Upper Frame and Engine 998cc
REC16975-2,263,2026-04-23,1972,Bsa,A75R Rocket 3,740,,5750,5000,1972 BSA A75R Rocket 3 Mk2 740cc
REC16975-1,263,2026-04-24,1971,Norton,750 Commando,745,,4830,4200,1971 Norton 750 Commando 745cc
REC16975-4,263,2026-04-24,1963,Bsa,A10 Rocket Gold Star,646,,4370,3800,1963 BSA A10 Rocket Gold Star 646cc
REC17018-1,263,2026-04-30,1958,Moto Morini,175 Corsa,175,,2875,2500,1958 Moto Morini 175 Corsa 175cc
REC17020-2,263,2026-04-30,1955,Mv Agusta,Css Squalo Race Bike,175,,9200,8000,1955 MV Agusta 175 CSS Squalo Race Bike 175cc
REC17022-1,263,2026-04-30,1977,Honda,Cb400F Super Sport,408,,2530,2200,1977 Honda CB400F Super Sport 408cc
REC17022-2,263,2026-04-30,1979,Honda,Cb550K Four,544,,2300,2000,1979 Honda CB550K Four 544cc
REC16968-4,263,2026-05-03,1989,Kawasaki,Zxr-7 Ttf1,749,,9200,8000,1989 Kawasaki ZXR-7 TTF1 Endurance Race Bike 749cc
REC16991-4,263,2026-05-07,1980,Harley-Davidson,Flt Road Glide,1340,,1725,1500,"1980 Harley-Davidson FLT Road Glide 1,340cc"
REC16991-5,263,2026-05-09,2006,Triumph,Daytona 675,675,,1150,1000,2006 Triumph 675 Daytona 675cc
REC16991-6,263,2026-05-09,1997,Husqvarna,Te610,576,,345,300,1997 Husqvarna TE610 576cc
REC17020-1,263,2026-05-09,1919,Triumph,Model H,550,,4830,4200,c.1919 Triumph Model H 550cc
